UID,Lat,Lon,CO,PM10,PM25,AQI
0,44.382361,-79.702306,,,30,41
1,44.150528,-77.3955,,,5,35
2,-79.780917,43.69875,,,13,39
3,43.138611,-80.292639,,,25,40
4,43.315111,-79.802639,,,9,39
5,42.403694,-82.208306,,,13,37
6,45.017972,-74.735222,,,30,32
7,45.224278,-78.932944,,,9,30
8,43.333083,-81.742889,,,5,42
9,43.551611,-80.264167,,,5,46
10,43.257778,-79.861667,2.9,,34,35
11,43.229417,-79.862778,,,9,38
12,43.257444,-79.90775,,,25,38
13,44.219722,-76.521111,,,17,38
14,43.443833,-80.503806,,,13,43
15,42.97446,-81.200858,,,17,39
16,43.54697,-79.65869,,,21,32
17,44.89975,-75.189944,,,,
18,44.044306,-79.48325,,,13,35
19,46.323194,-79.449278,,,13,31
20,43.486917,-79.702278,,,13,40
21,43.945944,-78.894917,,,13,33
22,-75.714194,45.382528,,,21,27
23,-75.676,45.434333,1.3,,21,28
24,45.337861,-80.038167,,,9,31
25,45.996722,-77.441194,,,13,28
26,44.301917,-78.346222,,,17,36
27,42.672083,-81.162889,,,17,39
28,42.982278,-82.405083,,,9,42
29,46.533194,-84.309917,,,21,38
30,43.160056,-79.23475,,,13,37
31,46.49194,-81.003105,,,9,33
32,48.379389,-89.290167,,,38,38
33,44.314472,-81.549722,,,17,38
34,43.662972,-79.388111,,,17,26
35,43.747917,-79.274056,,,17,27
36,43.781611,-79.417722,,,9,31
37,43.709444,-79.5435,1.3,,13,31
38,42.315778,-83.043667,1.8,,25,39
39,42.292889,-83.073139,,,21,37
40,68.356994,-133.714063,2,,5,7
41,65.279676,-126.812887,,74,13,74
42,62.452084,-114.364031,1.5,20,5,20
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,43.4,,9,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
58,41.0522,-73.7642,,,4,4
59,40.8197,-73.9481,1.2,,7,7
60,40.814701,-73.886703,2.3,,8,8
61,40.641819,-74.018707,,,4,4
62,40.7269,-73.8933,1.2,,23,23
63,40.7447,-73.5869,,,8,26
64,40.8492,-73.9319,2.3,,4,4
65,40.5802,-74.1994,,,2,34
67,44.61569,-123.091457,,8,7,8
68,42.290094,-123.2321,,11,8,25
69,44.78822,-117.8446,,12,13,13
