UID,Lat,Lon,CO,PM10,PM25,AQI
0,44.382361,-79.702306,,,17,20
1,44.150528,-77.3955,,,13,29
2,43.69875,-79.780917,,,13,24
3,43.138611,-80.292639,,,13,32
4,43.315111,-79.802639,,,9,22
5,-82.208306,42.403694,,,21,37
6,45.017972,-74.735222,,,13,22
7,-78.932944,45.224278,,,9,27
8,43.333083,-81.742889,,,5,35
9,43.551611,-80.264167,,,17,30
10,43.257778,-79.861667,1.8,,34,34
11,43.229417,-79.862778,,,9,28
12,43.257444,-79.90775,,,13,26
13,44.219722,-76.521111,,,5,27
14,-80.503806,43.443833,,,5,30
15,42.97446,-81.200858,,,17,34
16,43.54697,-79.65869,,,5,27
17,44.89975,-75.189944,,,,
18,-79.48325,44.044306,,,13,23
19,46.323194,-79.449278,,,9,27
20,43.486917,-79.702278,,,13,27
21,43.945944,-78.894917,,,17,25
22,45.382528,-75.714194,,,5,29
23,45.434333,-75.676,1.4,,9,29
24,45.337861,-80.038167,,,5,26
25,45.996722,-77.441194,,,17,20
26,44.301917,-78.346222,,,5,26
27,42.672083,-81.162889,,,17,34
28,42.982278,-82.405083,,,13,33
29,46.533194,-84.309917,,,5,25
30,43.160056,-79.23475,,,13,26
31,46.49194,-81.003105,,,5,30
32,48.379389,-89.290167,,,46,46
33,44.314472,-81.549722,,,5,29
34,43.662972,-79.388111,,,17,22
35,43.747917,-79.274056,,,21,21
36,43.781611,-79.417722,,,9,22
37,43.709444,-79.5435,2.3,,21,21
38,42.315778,-83.043667,1.6,,17,38
39,42.292889,-83.073139,,,9,38
40,68.356994,-133.714063,1.5,,5,2
41,-126.812887,65.279676,,22,,22
42,62.452084,-114.364031,2,36,5,36
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,43.4,,9,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
58,-73.7642,41.0522,,,6,6
59,40.8197,-73.9481,1.2,,14,14
60,40.814701,-73.886703,3.4,,8,8
61,40.641819,-74.018707,,,15,15
62,40.7269,-73.8933,1.2,,25,25
63,-73.5869,40.7447,,,13,13
64,40.8492,-73.9319,3.4,,6,6
65,40.5802,-74.1994,,,12,12
67,-123.091457,44.61569,,8,7,8
68,42.290094,-123.2321,,11,8,28
69,44.78822,-117.8446,,12,12,12
70,45.4702,-122.8159,2.7,7,8,17
71,44.063916,-121.312554,,11,8,11
72,43.58925,-119.048302,,11,9,11
73,42.1617,-123.64835,,12,12,12
74,44.5884,-123.2673,,8,6,8
75,45.426351,-117.296066,,12,15,15
76,-123.348466,42.434149,,11,8,28
77,45.828968,-119.262991,,10,5,10
78,45.528501,-122.972398,2.7,7,4,17
